date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
20180207,2018-02-07 00:00:00,3,7,38,Wednesday,Wed,Y,6,6,2018-02-05 00:00:00,20180205,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180208,2018-02-08 00:00:00,4,8,39,Thursday,Thu,Y,6,6,2018-02-05 00:00:00,20180205,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180209,2018-02-09 00:00:00,5,9,40,Friday,Fri,Y,6,6,2018-02-05 00:00:00,20180205,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180210,2018-02-10 00:00:00,6,10,41,Saturday,Sat,N,6,6,2018-02-05 00:00:00,20180205,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180211,2018-02-11 00:00:00,7,11,42,Sunday,Sun,N,6,6,2018-02-05 00:00:00,20180205,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180212,2018-02-12 00:00:00,1,12,43,Monday,Mon,Y,7,7,2018-02-12 00:00:00,20180212,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180213,2018-02-13 00:00:00,2,13,44,Tuesday,Tue,Y,7,7,2018-02-12 00:00:00,20180212,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180214,2018-02-14 00:00:00,3,14,45,Wednesday,Wed,Y,7,7,2018-02-12 00:00:00,20180212,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180215,2018-02-15 00:00:00,4,15,46,Thursday,Thu,Y,7,7,2018-02-12 00:00:00,20180212,2,2,February,Feb,1,2018,201802,8,3,2018,N
20180216,2018-02-16 00:00:00,5,16,47,Friday,Fri,Y,7,7,2018-02-12 00:00:00,20180212,2,2,February,Feb,1,2018,201802,8,3,2018,N
